Product,Unit,Product ID,Profit,Benefits,Sales,Amount,Revenue,Total Transaction,Discount,Cost,Weekly Sales,Weekly Profit,Monthly Sales,Monthly Profit,Yearly Sales,Yearly Profit,Year,State,Country,City,Region,Segment,Sub-Category,Category,Shipping Date,Shipping Time,Order,Order ID,Order Date,E-Commerce Platform,Online Payment Gateway,Online & Offline Purchase,Purchase Price,Brand Name,Sold
turmeric powder,500 ml,4b247554,51.09,Essential household item,537.58,1992.69,2043.78,45,0.06,486.55,4884.07,405.18,19536.28,1620.72,234435.36,19448.64,2023,Maharashtra,India,Mumbai,South,Home Office,Beverages,Fruits,2023-10-23,4 days,9270,49ee9462,2023-10-16,Amazon,Google Pay,Online,487.79,Brand D,15
butter,100 gram,1b9dd30d,3.58,Essential household item,43.37,61.76,65.34,39,0.1,39.89,361.97,24.06,1447.88,96.24,17374.56,1154.88,2021,Tamil Nadu,India,Delhi,North,Consumer,Staples,Vegetables,2021-08-17,4 days,5628,5dea7123,2021-08-14,JioMart,Google Pay,Online,39.02,Brand C,49
milk powder,10 gram,5ee3e0e1,25.23,Essential household item,241.08,1061.6,1086.83,53,0.05,215.9,1486.2,234.2,5944.8,936.8,71337.6,11241.6,2022,Telangana,India,Mumbai,East,Corporate,Staples,Dairy,2022-05-24,2 days,8661,f18c3d89,2022-05-17,BigBasket,Paytm,Offline,225.13,Brand B,98
cardamom,500 ml,19c0b236,25.3,Essential household item,511.85,1341.04,1366.34,5,0.14,486.69,3599.48,155.1,14397.92,620.4,172775.04,7444.8,2020,West Bengal,India,Hyderabad,North,Corporate,Staples,Grocery,2020-04-26,1 days,4915,15ebef04,2020-04-24,BigBasket,Razorpay,Offline,495.73,Brand D,67
sugar,500 ml,a1af75c1,71.2,Essential household item,490.35,768.5,839.7,81,0.08,419.23,3902.11,693.59,15608.44,2774.36,187301.28,33292.32,2021,Tamil Nadu,India,Delhi,West,Home Office,Bakery,Fruits,2021-11-20,1 days,5424,54824f43,2021-11-16,JioMart,Paytm,Offline,426.03,Brand D,24
salt,10 gram,41cdb74c,1.63,Essential household item,12.73,60.12,61.75,9,0.02,11.12,107.72,12.86,430.88,51.44,5170.56,617.28,2024,Delhi,India,Chennai,West,Consumer,Beverages,Grocery,2024-05-02,4 days,4947,e5f08de4,2024-04-30,JioMart,Paytm,Offline,11.23,Brand C,47
coffee,500 ml,fb9c9259,24.83,Essential household item,249.32,786.56,811.39,90,0.03,224.52,1533.14,187.11,6132.56,748.44,73590.72,8981.28,2024,Maharashtra,India,Bangalore,West,Corporate,Staples,Vegetables,2024-06-19,5 days,9114,594dd556,2024-06-13,Flipkart,Google Pay,Offline,232.75,Brand A,39
mustard seed,100 gram,2f3793fc,68.91,Essential household item,546.39,841.8,910.71,61,0.14,477.62,3937.07,523.78,15748.28,2095.12,188979.36,25141.44,2024,Telangana,India,Delhi,North,Home Office,Staples,Vegetables,2024-10-07,5 days,3821,b063ff70,2024-10-02,BigBasket,Paytm,Online,498.9,Brand D,19
cardamom,10 gram,d483b90e,46.55,Essential household item,503.99,1622.34,1668.89,12,0.15,457.59,4289.39,438.59,17157.56,1754.36,205890.72,21052.32,2021,Telangana,India,Bangalore,West,Home Office,Staples,Fruits,2021-10-14,4 days,8521,4473e946,2021-10-11,BigBasket,Google Pay,Online,478.72,Brand A,31
white pepper,100 gram,af2c2abd,8.06,Essential household item,131.8,473.29,481.35,92,0.02,123.76,1280.04,48.0,5120.16,192.0,61441.92,2304.0,2022,Telangana,India,Chennai,North,Corporate,Beverages,Dairy,2022-04-25,1 days,1793,a866dc75,2022-04-20,BigBasket,PhonePe,Online,122.17,Brand D,37
black cumin,50 gram,96b62105,4.22,Essential household item,30.5,151.37,155.59,97,0.03,26.31,208.46,34.42,833.84,137.68,10006.08,1652.16,2023,Maharashtra,India,Mumbai,South,Consumer,Beverages,Fruits,2023-05-05,1 days,9237,fb2807f8,2023-04-30,BigBasket,PhonePe,Offline,25.55,Brand D,42
pasta,10 gram,96c3eb70,9.15,Essential household item,171.08,567.62,576.77,75,0.01,161.94,1322.68,46.04,5290.72,184.16,63488.64,2209.92,2024,West Bengal,India,Delhi,East,Home Office,Condiments,Vegetables,2024-09-17,4 days,3682,f5e11f5f,2024-09-11,BigBasket,PhonePe,Online,159.41,Brand D,13
split grain,10 gram,a875ef0e,51.79,Essential household item,344.11,532.73,584.52,31,0.01,292.33,2743.57,429.59,10974.28,1718.36,131691.36,20620.32,2022,Delhi,India,Delhi,East,Corporate,Beverages,Vegetables,2022-07-26,4 days,1185,aa8acc99,2022-07-24,Amazon,Google Pay,Offline,281.44,Brand C,4
cardamom,10 gram,1c92cb9a,35.75,Essential household item,470.56,629.04,664.79,91,0.03,434.84,4056.58,331.5,16226.32,1326.0,194715.84,15912.0,2021,Karnataka,India,Kolkata,North,Home Office,Condiments,Dairy,2021-09-04,3 days,2128,17ebfd43,2021-08-28,Flipkart,Paytm,Offline,444.86,Brand D,70
wheat flour,10 gram,68df9555,70.62,Essential household item,517.54,1499.13,1569.75,31,0.02,446.94,4552.03,396.78,18208.12,1587.12,218497.44,19045.44,2021,Tamil Nadu,India,Kolkata,North,Home Office,Condiments,Dairy,2021-11-26,2 days,3481,53bcca99,2021-11-21,Flipkart,Google Pay,Offline,425.34,Brand B,39
cardamom,100 gram,0ae9e475,26.31,Essential household item,428.58,1529.39,1555.7,88,0.1,402.37,3157.13,161.21,12628.52,644.84,151542.24,7738.08,2021,Maharashtra,India,Hyderabad,West,Corporate,Beverages,Grocery,2021-10-06,4 days,5850,68f4c7d9,2021-09-29,Amazon,Razorpay,Offline,420.37,Brand A,89
salt,500 ml,5310a043,34.12,Essential household item,357.33,388.23,422.35,9,0.14,323.35,3103.17,336.95,12412.68,1347.8,148952.16,16173.6,2022,West Bengal,India,Mumbai,South,Home Office,Spices,Dairy,2022-11-26,4 days,3228,faf42c56,2022-11-22,BigBasket,Razorpay,Online,335.26,Brand C,2
egg,500 ml,41196fa5,46.04,Essential household item,424.28,1241.11,1287.15,24,0.03,378.27,2577.34,403.85,10309.36,1615.4,123712.32,19384.8,2024,West Bengal,India,Mumbai,East,Home Office,Beverages,Grocery,2024-12-28,3 days,6071,cf41a4d7,2024-12-22,Amazon,Google Pay,Online,367.88,Brand D,53
black pepper,10 gram,d03f1471,19.41,Essential household item,343.21,950.1,969.51,78,0.03,323.83,2437.35,120.47,9749.4,481.88,116992.8,5782.56,2020,Tamil Nadu,India,Delhi,East,Corporate,Bakery,Vegetables,2020-12-19,4 days,7309,0f1c91d8,2020-12-17,BigBasket,Razorpay,Online,326.4,Brand A,86
butter,10 gram,20dede4d,20.5,Essential household item,238.94,357.0,377.5,57,0.13,218.57,1660.46,173.08,6641.84,692.32,79702.08,8307.84,2023,Maharashtra,India,Hyderabad,West,Home Office,Staples,Grocery,2023-08-03,2 days,7484,092e7bf4,2023-07-29,Amazon,Razorpay,Online,228.26,Brand D,95
chilli powder,50 gram,7a1657ac,4.94,Essential household item,56.61,210.57,215.51,39,0.01,51.68,395.64,29.98,1582.56,119.92,18990.72,1439.04,2022,Delhi,India,Chennai,East,Corporate,Bakery,Dairy,2022-07-09,1 days,3417,21396a87,2022-07-02,BigBasket,PhonePe,Offline,52.76,Brand C,31
cinnamon,500 ml,a4db16ed,62.27,Essential household item,480.14,2235.92,2298.19,63,0.01,417.88,4384.85,431.89,17539.4,1727.56,210472.8,20730.72,2024,Tamil Nadu,India,Chennai,South,Consumer,Staples,Vegetables,2024-08-01,4 days,7539,52612ec8,2024-07-27,Amazon,Paytm,Online,402.17,Brand D,94
cumin powder,1 kg,fc7b47be,15.95,Essential household item,255.33,460.98,476.93,92,0.07,239.45,2538.43,91.81,10153.72,367.24,121844.64,4406.88,2022,West Bengal,India,Mumbai,West,Corporate,Spices,Fruits,2022-01-13,4 days,4080,224ea301,2022-01-06,BigBasket,Google Pay,Offline,247.53,Brand A,21
rice,500 ml,711119bb,44.02,Essential household item,334.06,500.59,544.61,71,0.11,290.15,2856.47,297.88,11425.88,1191.52,137110.56,14298.24,2024,West Bengal,India,Bangalore,West,Consumer,Bakery,Dairy,2024-08-07,3 days,2152,e0ef3cce,2024-08-05,Flipkart,Razorpay,Offline,276.49,Brand C,32
egg,10 gram,079d9e7f,15.05,Essential household item,112.9,162.41,177.46,9,0.07,97.92,906.75,136.88,3627.0,547.52,43524.0,6570.24,2023,West Bengal,India,Delhi,North,Corporate,Beverages,Dairy,2023-07-16,2 days,5252,7390cf0c,2023-07-10,Flipkart,Paytm,Online,93.82,Brand B,83
pasta,500 ml,24d8eefe,3.92,Essential household item,53.08,100.38,104.3,8,0.14,49.3,279.29,27.89,1117.16,111.56,13405.92,1338.72,2024,Tamil Nadu,India,Mumbai,North,Consumer,Condiments,Dairy,2024-07-13,3 days,7118,f8ac91aa,2024-07-06,Amazon,Paytm,Offline,50.49,Brand C,52
bread,500 ml,5f723ac9,54.9,Essential household item,493.48,524.08,578.98,58,0.12,438.7,3620.11,434.69,14480.44,1738.76,173765.28,20865.12,2020,Delhi,India,Kolkata,South,Home Office,Staples,Grocery,2020-02-25,5 days,9687,e73544c6,2020-02-23,BigBasket,Razorpay,Offline,457.56,Brand B,79
sugar,100 gram,06de6993,57.05,Essential household item,477.56,1071.08,1128.13,52,0.05,420.56,4720.23,452.91,18880.92,1811.64,226571.04,21739.68,2024,West Bengal,India,Bangalore,North,Corporate,Bakery,Dairy,2024-12-02,4 days,7015,5a8f8d29,2024-12-01,Amazon,PhonePe,Offline,428.85,Brand D,25
sugar,10 gram,448db6f6,13.76,Essential household item,250.17,298.1,311.86,48,0.1,236.51,1576.69,131.9,6306.76,527.6,75681.12,6331.2,2024,Telangana,India,Kolkata,East,Consumer,Beverages,Vegetables,2024-02-08,4 days,9895,9f961383,2024-02-01,Flipkart,PhonePe,Online,239.93,Brand D,93
cornflour,100 gram,e371f7a4,60.13,Essential household item,364.93,1055.72,1115.85,66,0.02,304.82,2165.84,481.88,8663.36,1927.52,103960.32,23130.24,2024,West Bengal,India,Hyderabad,North,Corporate,Beverages,Dairy,2024-11-29,4 days,2618,abf60499,2024-11-23,BigBasket,Google Pay,Online,293.36,Brand B,6
cardamom,500 ml,ce00a576,23.17,Essential household item,159.81,695.65,718.82,65,0.12,136.76,915.22,212.38,3660.88,849.52,43930.56,10194.24,2024,Maharashtra,India,Hyderabad,South,Corporate,Spices,Fruits,2024-09-14,4 days,6747,11338fce,2024-09-07,JioMart,PhonePe,Online,133.51,Brand D,72
tea,10 gram,c9a6fbee,8.31,Essential household item,110.24,523.74,532.05,2,0.02,101.95,1015.32,53.29,4061.28,213.16,48735.36,2557.92,2024,Telangana,India,Bangalore,West,Corporate,Beverages,Dairy,2024-03-30,1 days,5386,9abe27d0,2024-03-23,Amazon,Google Pay,Online,101.86,Brand C,61
butter,500 ml,91fab991,43.19,Essential household item,287.37,346.51,389.7,58,0.06,244.24,1439.08,244.57,5756.32,978.28,69075.84,11739.36,2024,Maharashtra,India,Mumbai,West,Corporate,Beverages,Vegetables,2024-01-10,3 days,2212,18bc52de,2024-01-04,BigBasket,PhonePe,Offline,236.97,Brand C,26
chilli powder,1 kg,6ef9f414,40.32,Essential household item,243.61,452.93,493.25,43,0.09,203.38,1919.58,351.03,7678.32,1404.12,92139.84,16849.44,2024,Tamil Nadu,India,Hyderabad,West,Corporate,Spices,Vegetables,2024-09-14,2 days,4819,0ea87456,2024-09-07,Amazon,PhonePe,Online,201.73,Brand A,71
black pepper,10 gram,a13553c0,40.61,Essential household item,324.73,1176.88,1217.49,27,0.12,284.24,3019.67,405.64,12078.68,1622.56,144944.16,19470.72,2021,Delhi,India,Chennai,East,Home Office,Staples,Dairy,2022-01-01,1 days,8406,d614d017,2021-12-29,Amazon,Google Pay,Offline,294.88,Brand D,98
egg,1 kg,615edd79,74.9,Essential household item,557.88,2224.21,2299.11,9,0.04,483.02,5438.94,466.34,21755.76,1865.36,261069.12,22384.32,2020,Karnataka,India,Kolkata,North,Corporate,Staples,Fruits,2020-08-12,4 days,2903,29132cee,2020-08-11,JioMart,Google Pay,Online,492.0,Brand C,76
cumin powder,500 ml,93ebc9ae,52.35,Essential household item,430.76,557.04,609.39,14,0.1,378.51,3690.57,515.78,14762.28,2063.12,177147.36,24757.44,2020,Maharashtra,India,Chennai,East,Consumer,Beverages,Dairy,2020-11-14,3 days,3116,19765e8a,2020-11-11,Flipkart,Google Pay,Online,375.65,Brand C,60
cooking oil,500 ml,5ab7c2ad,9.53,Essential household item,82.49,343.09,352.62,16,0.01,72.97,738.93,66.81,2955.72,267.24,35468.64,3206.88,2024,Karnataka,India,Kolkata,East,Corporate,Spices,Dairy,2024-12-04,1 days,4112,fa959624,2024-11-28,Amazon,Google Pay,Offline,75.78,Brand B,49
chilli powder,1 kg,d4ab47ac,11.6,Essential household item,181.37,236.92,248.52,51,0.01,169.78,1182.03,111.44,4728.12,445.76,56737.44,5349.12,2021,Telangana,India,Kolkata,East,Corporate,Beverages,Dairy,2021-02-22,2 days,8015,23505143,2021-02-21,Flipkart,Google Pay,Offline,169.05,Brand B,73
clove,500 ml,167c7376,22.06,Essential household item,145.64,313.53,335.59,81,0.1,123.68,1241.46,166.0,4965.84,664.0,59590.08,7968.0,2020,Tamil Nadu,India,Hyderabad,North,Corporate,Beverages,Dairy,2020-04-14,2 days,8267,5f44877b,2020-04-09,Amazon,Razorpay,Offline,123.27,Brand C,45
egg,50 gram,99c7affe,70.46,Essential household item,562.13,2083.15,2153.61,59,0.03,491.7,4524.78,510.76,18099.12,2043.04,217189.44,24516.48,2022,Telangana,India,Hyderabad,East,Corporate,Condiments,Grocery,2022-10-05,1 days,3943,26ce5d30,2022-10-01,BigBasket,PhonePe,Online,483.39,Brand C,93
clove,50 gram,d58d1342,15.89,Essential household item,133.49,615.48,631.37,73,0.07,117.67,739.61,83.64,2958.44,334.56,35501.28,4014.72,2022,West Bengal,India,Bangalore,East,Home Office,Condiments,Dairy,2022-11-24,1 days,6610,08896177,2022-11-19,Flipkart,PhonePe,Offline,115.86,Brand B,6
pasta,50 gram,5bb6b731,49.68,Essential household item,498.11,1435.32,1485.0,90,0.0,448.43,4913.79,379.85,19655.16,1519.4,235861.92,18232.8,2020,Maharashtra,India,Kolkata,West,Consumer,Staples,Grocery,2020-05-28,2 days,4470,a8c59af1,2020-05-26,BigBasket,Google Pay,Offline,449.27,Brand C,25
mustard seed,10 gram,7ddb6fbf,24.2,Essential household item,412.06,935.06,959.26,77,0.07,387.93,3025.37,209.15,12101.48,836.6,145217.76,10039.2,2023,Tamil Nadu,India,Delhi,East,Consumer,Bakery,Dairy,2023-12-09,1 days,9148,03076996,2023-12-06,BigBasket,Paytm,Online,391.35,Brand D,17
bread,500 ml,5375a8ba,34.49,Essential household item,357.47,1273.19,1307.68,57,0.03,323.01,2806.01,240.21,11224.04,960.84,134688.48,11530.08,2020,Karnataka,India,Delhi,East,Corporate,Bakery,Vegetables,2020-06-08,1 days,5454,4e91e57e,2020-06-05,Flipkart,PhonePe,Offline,338.51,Brand D,11
cardamom,10 gram,b97d55fe,51.9,Essential household item,469.96,2156.57,2208.47,15,0.1,418.16,3181.7,317.33,12726.8,1269.32,152721.6,15231.84,2020,Telangana,India,Hyderabad,North,Corporate,Spices,Vegetables,2020-11-26,1 days,1287,7658436c,2020-11-21,BigBasket,Google Pay,Online,400.18,Brand D,18
salt,50 gram,9b6276e7,22.59,Essential household item,175.76,314.02,336.61,87,0.12,153.29,1409.41,126.07,5637.64,504.28,67651.68,6051.36,2022,Delhi,India,Hyderabad,South,Home Office,Condiments,Vegetables,2022-08-11,1 days,2527,d1337ca4,2022-08-07,Flipkart,Google Pay,Online,148.78,Brand A,35
